"Time","Position","Velocity","Acceleration","Potential"
0.02,0.393,0.072,2.030,
0.04,0.394,0.108,2.284,
0.06,0.396,0.160,2.491,
0.08,0.400,0.213,2.429,
0.10,0.405,0.261,2.162,
0.12,0.411,0.301,1.750,
0.14,0.417,0.335,1.098,
0.16,0.425,0.349,0.250,
0.18,0.432,0.342,-0.502,
0.20,0.438,0.326,-1.138,
0.22,0.445,0.299,-1.842,
0.24,0.451,0.253,-2.530,
0.26,0.455,0.194,-3.013,
0.28,0.458,0.129,-3.315,
0.30,0.460,0.061,-3.579,
0.32,0.461,-0.014,-3.796,
0.34,0.460,-0.096,-3.740,
0.36,0.457,-0.169,-3.399,
0.38,0.453,-0.231,-3.036,
0.40,0.448,-0.288,-2.730,
0.42,0.441,-0.344,-2.206,
0.44,0.434,-0.383,-1.383,
0.46,0.426,-0.401,-0.473,
0.48,0.417,-0.400,0.385,
0.50,0.410,-0.384,1.162,
0.52,0.402,-0.355,1.965,
0.54,0.395,-0.304,2.690,
0.56,0.390,-0.243,3.233,
0.58,0.385,-0.175,3.742,
0.60,0.382,-0.092,4.140,
0.62,0.381,-0.006,4.358,
0.64,0.382,0.085,4.387,
0.66,0.385,0.175,4.108,
0.68,0.389,0.252,3.667,
0.70,0.395,0.322,3.158,
0.72,0.402,0.380,2.524,
0.74,0.410,0.426,1.700,
0.76,0.420,0.452,0.696,
0.78,0.429,0.453,-0.294,
0.80,0.438,0.438,-1.209,
0.82,0.447,0.406,-2.135,
0.84,0.455,0.353,-3.030,
0.86,0.461,0.281,-3.720,
0.88,0.466,0.199,-4.142,
0.90,0.469,0.114,-4.448,
0.92,0.471,0.021,-4.693,
0.94,0.470,-0.079,-4.672,
0.96,0.467,-0.172,-4.344,
0.98,0.463,-0.253,-3.915,
1.00,0.457,-0.328,-3.437,
1.02,0.450,-0.394,-2.786,
1.04,0.441,-0.443,-1.934,
1.06,0.432,-0.474,-0.932,
1.08,0.422,-0.480,0.043,
1.10,0.412,-0.470,0.920,
1.12,0.403,-0.445,1.869,
1.14,0.394,-0.397,2.878,
1.16,0.387,-0.328,3.804,
1.18,0.381,-0.240,4.454,
1.20,0.377,-0.145,4.803,
1.22,0.375,-0.046,5.038,
1.24,0.375,0.059,5.135,
1.26,0.377,0.162,5.022,
1.28,0.381,0.265,4.611,
1.30,0.388,0.352,3.886,
1.32,0.396,0.421,3.056,
1.34,0.405,0.475,2.153,
1.36,0.415,0.509,1.139,
1.38,0.426,0.524,-0.047,
1.40,0.437,0.509,-1.290,
1.42,0.446,0.467,-2.276,
1.44,0.456,0.414,-3.082,
1.46,0.463,0.344,-3.820,
1.48,0.469,0.261,-4.491,
1.50,0.474,0.162,-5.017,
1.52,0.476,0.055,-5.251,
1.54,0.476,-0.052,-5.233,
1.56,0.474,-0.158,-4.954,
1.58,0.470,-0.254,-4.452,
1.60,0.464,-0.337,-3.893,
1.62,0.456,-0.410,-3.307,
1.64,0.447,-0.472,-2.528,
1.66,0.437,-0.516,-1.474,
1.68,0.426,-0.534,-0.268,
1.70,0.415,-0.524,0.832,
1.72,0.405,-0.498,1.774,
1.74,0.395,-0.455,2.787,
1.76,0.386,-0.387,3.804,
1.78,0.379,-0.300,4.635,
1.80,0.374,-0.197,5.176,
1.82,0.371,-0.087,5.417,
1.84,0.370,0.022,5.492,
1.86,0.372,0.133,5.434,
1.88,0.376,0.245,5.077,
1.90,0.382,0.343,4.356,
1.92,0.390,0.421,3.502,
1.94,0.399,0.483,2.619,
1.96,0.409,0.527,1.630,
1.98,0.420,0.550,0.522,
2.00,0.432,0.552,-0.756,
2.02,0.443,0.521,-2.056,
2.04,0.453,0.464,-3.096,
2.06,0.462,0.393,-3.910,
2.08,0.469,0.305,-4.555,
2.10,0.474,0.207,-4.977,
2.12,0.477,0.105,-5.298,
2.14,0.479,-0.006,-5.485,
2.16,0.477,-0.120,-5.318,
2.18,0.474,-0.225,-4.830,
2.20,0.468,-0.317,-4.140,
2.22,0.461,-0.390,-3.421,
2.24,0.452,-0.451,-2.784,
2.26,0.443,-0.504,-1.983,
2.28,0.432,-0.537,-0.885,
2.30,0.421,-0.542,0.346,
2.32,0.410,-0.521,1.503,
2.34,0.399,-0.479,2.516,
2.36,0.390,-0.420,3.467,
2.38,0.382,-0.340,4.347,
2.40,0.376,-0.243,5.062,
2.42,0.372,-0.134,5.550,
2.44,0.371,-0.015,5.686,
2.46,0.372,0.100,5.438,
2.48,0.375,0.204,5.044,
2.50,0.380,0.303,4.567,
2.52,0.387,0.390,3.905,
2.54,0.396,0.464,2.960,
2.56,0.406,0.513,1.763,
2.58,0.417,0.534,0.569,
2.60,0.428,0.534,-0.546,
2.62,0.439,0.511,-1.613,
2.64,0.449,0.468,-2.588,
2.66,0.458,0.408,-3.525,
2.68,0.465,0.327,-4.411,
2.70,0.471,0.226,-5.012,
2.72,0.474,0.120,-5.257,
2.74,0.476,0.012,-5.260,
2.76,0.475,-0.094,-5.057,
2.78,0.472,-0.192,-4.700,
2.80,0.467,-0.283,-4.248,
2.82,0.460,-0.365,-3.635,
2.84,0.452,-0.431,-2.836,
2.86,0.443,-0.481,-1.882,
2.88,0.433,-0.509,-0.772,
2.90,0.422,-0.512,0.372,
2.92,0.412,-0.491,1.349,
2.94,0.402,-0.455,2.175,
2.96,0.393,-0.405,3.057,
2.98,0.386,-0.335,4.023,
3.00,0.380,-0.244,4.899,
3.02,0.376,-0.132,5.370,
3.04,0.374,-0.020,5.366,
3.06,0.375,0.086,5.117,
3.08,0.378,0.186,4.745,
3.10,0.383,0.276,4.330,
3.12,0.389,0.361,3.770,
3.14,0.397,0.434,2.854,
3.16,0.407,0.480,1.688,
3.18,0.417,0.500,0.557,
3.20,0.427,0.500,-0.481,
3.22,0.437,0.480,-1.497,
3.24,0.447,0.439,-2.447,
3.26,0.455,0.381,-3.282,
3.28,0.462,0.306,-3.992,
3.30,0.467,0.217,-4.490,
3.32,0.471,0.124,-4.810,
3.34,0.472,0.023,-4.997,
3.36,0.472,-0.081,-4.925,
3.38,0.469,-0.178,-4.579,
3.40,0.465,-0.267,-4.036,
3.42,0.458,-0.342,-3.336,
3.44,0.451,-0.402,-2.537,
3.46,0.442,-0.443,-1.732,
3.48,0.433,-0.471,-0.874,
3.50,0.423,-0.482,0.171,
3.52,0.413,-0.467,1.301,
3.54,0.404,-0.427,2.274,
